; 的
fwa 柠
fwb 棕
fwb 檫
fwh 梿
fwi 榨
fwj 榕
fwk 楦
fwn 榷
fwo 槟
fwr 枕
fwr 酡
fwr 柁
fwu 醚
fwv 栐
fwx 棺
fwx 槌
fwy 椀
fwz 惠
fwz 桉
fxb 雪
fxb 柽
fxd 树
fxe 杻
fxf 楙
fxh 概
fxj 椐
fxk 棣
fxl 桶
fxl 楣
fxl 橘
fxm 橄
fxm 樨
fxm 梶
fxo 根
fxq 榍
fxq 醑
fxs 权
fxs 霹
fxs 杈
fxu 橙
fxu 棂
fxv 杩
fxw 懋
fxx 霞
fxx 杼
fya 李
fyb 霆
fyb 梃
fyb 楗
fyi 杷
fyi 酏
fyi 梴
fyj 枷
fyj 柖
fyl 楹
fym 朸
fyo 杨
fyp 醪
fyq 椭
fys 极
fyy 配
fyy 栩
fyy 杞
fzg 椽
fzg 橼
fzr 酸
fzr 梭
fzs 酦
fzv 札
g 在
g' 不是
g/ 不是
g; 不
ga 厅
ga; 厉
gaa 石
gaa 丆
gad 厨
gae 研
gae 矸
gai 歪
gaj 奇
gak 硎
gak 剞
gan 奭
gao 硬
gar 厦
gar 欹
gau 砰
gay 励
gay 邳
gb 压
gbb 奎
gbb 硅
gbi 左
gbk 奈
gbk 刳
gbl 磕
gbm 奢
gbo 砆
gbp 瓠
gbs 砖
gbu 硖
gby 匏
gbz 夸
gbz 砝
gce 聋
gce 耷
gcg 碶
gch 套
gck 礓
gcl 碛
gcq 碃
gcz 碡
gd 夺
gd; 耐
gda 
gdj 右
gds 辱
gds 犬
geb 礤
ged 礴
gee 奔
gef 碟
geg 礞
gek 厝
gek 碏
gel 豮
geo 龚
geo 磺
geo 砹
geo 硔
gep 厮
ges 硭
gey 磡
gfa 碴
gfa 砵
gfe 磹
gfj 硒
gfk 礌
gfl 厢
gfz 嫑
gga 厂
ggb 靥
ggg 磊
ggk 厣
ggl 豳
ggn 魇
ggo 硕
ggo 餍
ggs 厌
ggu 燹
ggv 黡
ggy 砺
gha 辰
ghe 厍
ghe 砗
ghg 硗
ghi 蜃
ghi 砑
ghj 唇
ghj 碱
ghl 砸
gho 奁
ghr 砒
ghy 砌
ghz 砘
gia 丕
gij 否
gij 砧
giy 存
gj 面
gkb 厘
gkd 碍
gkh 碨
gki 奋
gki 砷
gkl 尴
gkm 砂
gkq 硝
gkr 鹌
gkr 碣
gkv 泵
gky 厚
gkz 奄
gla 而
glc 砠
gld 甭
gld 硐
gld 冇
gli 布
glj 碉
glk 厕
glk 盃
glo 碘
glr 砚
glu 碳
gly 硙
gma 龙
gmb 垄
gmg 砻
gmi 砟
gmi 歷
gmn 硚
gms 硪
gms 詟
gmw 砭
gmy 矻
gnd 夼
gne 碑
gni 碓
gnk 原
gnl 赝
gnn 雁
gno 硇
gnv 礁
gnw 愿
goa 页
gob 砼
god 仄
gol 豨
gon 尬
goo 爽
gov 硷
gpd 斫
gpd 耏
gpk 磻
gqa 豕
gqa 乑
gqd 矶
gqo 砜
gqq 硼
gqs 矾
gqy 郁
gra 尤
gra 兀
gra 尢
grb 磜
grc 尪
grf 磔
gri 虺
grj 硌
grk 砾
grk 碈
grl 确
gro 砍
